e0d16f274fbf84050162cd7e765d30bd,"Multistate"
s114375d,"Use combined knowledge of all letter-sound correspondences, syllabication patterns, and morphology (e.g., roots and affixes) to read accurately unfamiliar multisyllabic words in context and out of context."
s2364831,"Know and apply grade-level phonics and word analysis skills in decoding words."
s2364832,"Use combined knowledge of all letter-sound correspondences, syllabication patterns, and morphology (e.g., roots and affixes) to read accurately unfamiliar multisyllabic words in context and out of context."
s114372c,"Fluency"
s1143738,"Read emergent-reader texts with purpose and understanding."
s2378500,"Read with sufficient accuracy and fluency to support comprehension."
s1143763,"Read on-level text with purpose and understanding."
s1143764,"Read on-level text orally with accuracy, appropriate rate, and expression on successive readings."
s1143765,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
s2378501,"Read with sufficient accuracy and fluency to support comprehension."
s2378504,"Read on-level text with purpose and understanding."
s2378505,"Read on-level text orally with accuracy, appropriate rate, and expression on successive readings."
s2378506,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
s2378502,"Read with sufficient accuracy and fluency to support comprehension."
s2378507,"Read on-level text with purpose and understanding."
s1143766,"Read on-level prose and poetry orally with accuracy, appropriate rate, and expression on successive readings"
s1143767,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
s1143739,"Read with sufficient accuracy and fluency to support comprehension."
s2378508,"Read on-level text with purpose and understanding."
s2378510,"Read on-level prose and poetry orally with accuracy, appropriate rate, and expression on successive readings"
s2378511,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
s2378503,"Read with sufficient accuracy and fluency to support comprehension."
s2378509,"Read on-level text with purpose and understanding."
s2378512,"Read on-level prose and poetry orally with accuracy, appropriate rate, and expression on successive readings"
s2378513,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
s11437a3,"Reading Standards for Literacy in History/Social Studies 6—12"
s1143a9c,"Key Ideas and Details"
s1143aa0,"Cite specific textual evidence to support analysis of primary and secondary sources."
s1143aa1,"Determine the central ideas or information of a primary or secondary source; provide an accurate summary of the source distinct from prior knowledge or opinions."
